Desighnator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C","C_0402_1005Metric",-0.254000,10.795000,90.000000,top
"C2","C","C_0402_1005Metric",5.080000,10.795000,90.000000,top
"C3","100nF","C_0402_1005Metric",9.144000,-2.159000,90.000000,top
"C4","100nF","C_0402_1005Metric",-9.652000,1.016000,0.000000,top
"C5","100nF","C_0402_1005Metric",-4.064000,-9.652000,90.000000,top
"C6","100nF","C_0402_1005Metric",5.969000,-9.652000,90.000000,top
"C7","22pF","C_0402_1005Metric",6.604000,19.558000,180.000000,top
"C8","22pF","C_0402_1005Metric",6.604000,14.224000,180.000000,top
"C9","C_Small","C_Disc_D3.0mm_W1.6mm_P2.50mm",-3.790000,25.527000,180.000000,top
"C10","1uF","C_0402_1005Metric",14.351000,18.796000,90.000000,top
"C11","C_Small","C_Disc_D3.0mm_W1.6mm_P2.50mm",25.527000,-2.520000,90.000000,top
"C12","C_Small","C_Disc_D3.0mm_W1.6mm_P2.50mm",23.368000,-5.060000,90.000000,top
"C13","100nF","C_0402_1005Metric",11.684000,18.796000,-90.000000,top
"C14","100nF","C_0402_1005Metric",13.335000,10.640000,-90.000000,top
"C15","100nF","C_0402_1005Metric",4.953000,-9.652000,-90.000000,top
"C16","22pF","C_0402_1005Metric",7.493000,8.890000,0.000000,top
"C17","C_Small","C_Disc_D3.0mm_W1.6mm_P2.50mm",-25.527000,2.520000,-90.000000,top
"C18","C_Small","C_Disc_D3.0mm_W1.6mm_P2.50mm",-23.315000,5.119000,-90.000000,top
"C19","C_Small","C_Disc_D3.0mm_W1.6mm_P2.50mm",-2.464000,-25.527000,0.000000,top
"C20","C_Small","C_Disc_D3.0mm_W1.6mm_P2.50mm",-5.060000,-23.368000,0.000000,top
"D1","LED","LED_0402_1005Metric",16.027000,-8.634000,-90.000000,top
"D2","LED","LED_0402_1005Metric",13.995000,-8.634000,-90.000000,top
"D3","LED","LED_0402_1005Metric",18.059000,-8.634000,-90.000000,top
"D4","LED","LED_0402_1005Metric",11.963000,-8.632000,-90.000000,top
"J1","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Horizontal",3.810000,28.321000,-90.000000,top
"J2","Conn_01x05_Female","PinSocket_1x05_P2.54mm_Horizontal",28.321000,-5.060000,180.000000,top
"J3","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",14.757000,-0.635000,180.000000,top
"J4","Conn_01x05_Female","PinSocket_1x05_P2.54mm_Horizontal",-28.321000,5.060000,0.000000,top
"J5","Conn_01x05_Female","PinSocket_1x05_P2.54mm_Horizontal",-5.060000,-28.321000,90.000000,top
"J6","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",11.401000,6.975000,0.000000,top
"J7","Conn_01x06_Female","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",-15.765000,-6.123000,90.000000,top
"R1","10K","R_0402_1005Metric",17.526000,16.510000,180.000000,top
"R2","1k","R_0402_1005Metric",15.011000,-8.634000,90.000000,top
"R3","1k","R_0402_1005Metric",12.979000,-8.634000,90.000000,top
"R4","1k","R_0402_1005Metric",17.043000,-8.634000,90.000000,top
"R5","1k","R_0402_1005Metric",10.947000,-8.632000,90.000000,top
"R6","1k","R_0402_1005Metric",14.351000,10.640000,90.000000,top
"R7","1k","R_0402_1005Metric",9.396000,12.954000,180.000000,top
"R8","1k","R_0402_1005Metric",11.049000,10.668000,-90.000000,top
"R9","10k","R_0402_1005Metric",-2.289000,9.650000,-90.000000,top
"R10","10k","R_0402_1005Metric",-3.266000,9.652000,-90.000000,top
"R11","10k","R_0402_1005Metric",7.502000,7.841000,0.000000,top
"U1","ATmega2560-16AU","TQFP-100_14x14mm_P0.5mm",0.000000,0.000000,180.000000,top
"U2","ATmega16U2-MU","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",13.462000,14.732000,0.000000,top
"Y1","Crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm",2.413000,11.176000,0.000000,top
"Y2","Crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm",7.620000,16.891000,-90.000000,top
